#########################################################################################################
# Fit coefficients on mass-radius relationships.
#
# Each mass-radius relationship is fitted by a function of the form :
#   log10(Rp/R_Earth) = a*log10(Mp/M_Earth) + exp(-d*(log10(Mp/M_Earth)+c)) + b
#
# Fits are performed only for cases where errcode=0
#
# x_core' : core to core+mantle mass fraction in the planet, i.e. the core mass fraction without taking into account H2O in hydrosphere or atmosphere
# x_H2O : total water mass fraction in the planet (taking into account the mass of H2O in the atmosphere)
# T_irr : irradiation temperature (in K)
# a,b,c,d : coefficients of the fits
# number : out of 20 masses, how many have errcode=0
# MAE : Mean Average Error (in %)
# max error : greatest error (in %) between one point and the fitted function
# loc : location of the point with the greatest error
#
# 2024 update:
# mass_low: lower limit in mass (units of M_e) on the validity range of the fit (lowest valid point)
# mass_up: upper limit in mass (units of M_e) on the validity range of the fit (upper valid point)
#
#########################################################################################################
#
#   x_core'    x_H2O     t_irr                a                b                d                c  number         MAE   max error     loc    mass_low     mass_up
   0.20000   0.10000    500.00   0.223878126667   0.108066293339   2.820446824716   0.955302840797      16    0.068512     0.19753       6    0.415114   15.700596
   0.20000   0.20000    500.00   0.213862774237   0.142396266417   2.886513065039   0.870471430461      16    0.045284     0.12544       7    0.529179   19.993640
   0.20000   0.30000    500.00   0.207965920212   0.167366616203   2.848540964083   0.827218893715      15    0.042062     0.09542      10    0.674143   19.991499
   0.20000   0.40000    500.00   0.203143144578   0.188734691063   2.814687525094   0.793490040281      14    0.032749    0.082701       8    0.858840   19.997848
   0.20000   0.50000    500.00   0.198292781725   0.208782597113   2.829086668020   0.754291457145      13    0.031306    0.075063       9    0.859366   15.703436
   0.20000   0.60000    500.00   0.193329831950   0.227852919688   2.852965203357   0.719736403844      13    0.038681    0.084717       9    1.094220   19.995103
   0.20000   0.70000    500.00   0.190158302608   0.243998107620   2.829449816511   0.695432251550      12    0.022403    0.047012      12    1.095112   15.691372
   0.20000   0.80000    500.00   0.185939121874   0.261312216717   2.871503403012   0.659934380997      12    0.025474    0.082442      10    1.394134   19.996956
   0.20000   0.90000    500.00   0.181535149890   0.278717391616   2.911189420928   0.628639442559      12    0.020045    0.046455      12    1.394904   19.999164
   0.20000   1.00000    500.00   0.178191514592   0.294789079372   2.935146663304   0.596784341112      11    0.015366    0.052898      11    1.776219   19.986601
   0.20000   0.10000    600.00   0.217534292841   0.117722624281   3.008874546819   0.863464394123      16     0.13387     0.33266       5    0.415312   15.700148
   0.20000   0.20000    600.00   0.208980008378   0.151027841169   3.020788687839   0.786377132110      16    0.097081      0.2331       6    0.529420   19.997174
   0.20000   0.30000    600.00   0.204103940563   0.174929454204   2.933767627493   0.748419145549      15     0.04561     0.12332       8    0.674545   19.999772
   0.20000   0.40000    600.00   0.199750502597   0.195974484697   2.888562108242   0.714486640197      14    0.042507    0.099407      10    0.858852   19.995449
   0.20000   0.50000    600.00   0.195714457861   0.215176443819   2.868155453128   0.682857337893      13    0.026402    0.088757       9    1.094017   20.000640
   0.20000   0.60000    600.00   0.189858371001   0.235580321370   2.901138842124   0.647977073031      13    0.031097    0.099569      11    1.095141   19.989998
   0.20000   0.70000    600.00   0.186569855056   0.252400032582   2.903852391421   0.617691951060      12    0.030909    0.059935      10    1.394181   19.984582
   0.20000   0.80000    600.00   0.181818240561   0.270579544860   2.941037575009   0.585939233404      12    0.032595    0.058694      19    1.394955   19.998737
   0.20000   0.90000    600.00   0.179374997028   0.285043875463   2.885330788282   0.571313165835      11    0.027149    0.056301      11    1.776850   19.996130
   0.20000   1.00000    600.00   0.174447425195   0.303895539954   2.991626784480   0.523284440114      11    0.027498    0.055804      19    1.776119   19.995690
   0.20000   0.10000    700.00   0.216566442960   0.120613445316   2.977237058999   0.815040595961      15    0.091871     0.24451       6    0.528913   15.699974
   0.20000   0.20000    700.00   0.207915107338   0.154375623959   2.994899862201   0.736778994531      15    0.074175     0.26653       7    0.673953   19.998634
   0.20000   0.30000    700.00   0.202825028343   0.178854790959   2.927532148660   0.695195084330      14    0.050121     0.10578      11    0.858699   19.999991
   0.20000   0.40000    700.00   0.192006036514   0.208725789118   3.115203756505   0.627526904988      13    0.082174     0.24201       8    0.859392   15.702501
   0.20000   0.50000    700.00   0.190760164953   0.224398934413   2.979271744114   0.612200822988      13    0.033215    0.074677      12    1.094082   19.995323
   0.20000   0.60000    700.00   0.184507380576   0.246175728277   3.064880798471   0.567200046653      13    0.044109     0.15111       9    1.095169   20.001068
   0.20000   0.70000    700.00   0.182682622417   0.260743950547   2.975971843787   0.553418802667      12    0.019753    0.066073      13    1.394898   19.998196
   0.20000   0.80000    700.00   0.177475901873   0.279882275035   3.040671422306   0.515723499101      12    0.027504     0.07337      14    1.395988   19.994583
   0.20000   0.90000    700.00   0.174874153745   0.294929704698   3.000753971009   0.497644061751      11    0.012014    0.034218      12    1.776183   19.993740
   0.20000   1.00000    700.00   0.170001495369   0.313791087968   3.080431846967   0.456804238585      11   0.0091298     0.02547      13    1.777114   19.984224
   0.20000   0.10000    800.00   0.207073348830   0.133924144680   3.334114502522   0.718084319231      15     0.20289     0.48869       6    0.529001   15.699739
   0.20000   0.20000    800.00   0.200259943071   0.166519444720   3.312648626173   0.639562029050      15     0.16545      0.4805       7    0.674260   19.996078
   0.20000   0.30000    800.00   0.194931257410   0.192004951294   3.255018982594   0.593628621535      14     0.10159     0.25306       8    0.858741   19.998015
   0.20000   0.40000    800.00   0.192079632458   0.211354426940   3.111265772629   0.572955096731      13    0.058779     0.17314       9    1.094326   20.000377
   0.20000   0.50000    800.00   0.183510940116   0.237368123366   3.281065925828   0.512485912974      13    0.083574     0.20363       9    1.094767   20.000330
   0.20000   0.60000    800.00   0.181976617479   0.252268778641   3.128521033919   0.504145822832      12    0.043217     0.11227      10    1.394601   19.999247
   0.20000   0.70000    800.00   0.174606853302   0.275261091345   3.299850367518   0.449362845722      12    0.037919     0.12014      10    1.394901   20.000773
   0.20000   0.80000    800.00   0.175691570588   0.285612359010   3.107054630428   0.449334202425      11    0.021387    0.050028      11    1.776362   19.996979
   0.20000   0.90000    800.00   0.168099266026   0.308296318633   3.289769139084   0.395552902446      11    0.032369      0.0832      11    1.777084   19.990709
   0.20000   1.00000    800.00   0.166198199544   0.322624080749   3.204169209858   0.382471216153      10    0.020986    0.036637      12    2.263259   19.993493
   0.20000   0.10000    900.00   0.209279765314   0.132372734330   3.120930364538   0.703853727059      15     0.17228     0.62942       6    0.529263   15.700198
   0.20000   0.20000    900.00   0.205113684989   0.161250203465   2.995093592346   0.639314537055      15     0.11561     0.58417       7    0.674552   19.992192
   0.20000   0.30000    900.00   0.201342303163   0.184362869248   2.898344479977   0.599465657336      14    0.053071     0.25408       8    0.859431   19.996320
   0.20000   0.40000    900.00   0.199390286799   0.202097221986   2.765863404624   0.579329235317      13    0.051016     0.18451      10    1.094445   19.997085
   0.20000   0.50000    900.00   0.192498096095   0.225831628501   2.823300119991   0.535084758184      13    0.063787     0.22801       9    1.095019   20.000575
